"","datetime","smooth_A","smooth_B","smooth_C","piezometer","depth"
"1","2021-12-14 05:14:00",50.16,24.86,23.73,"Piez A",50.17
"2","2021-12-14 05:14:00",50.16,24.86,23.73,"Piez B",24.88
"3","2021-12-14 05:14:00",50.16,24.86,23.73,"Piez C",23.75
"4","2021-12-14 05:15:00",50.17,24.88,23.74,"Piez A",50.21
"5","2021-12-14 05:15:00",50.17,24.88,23.74,"Piez B",24.9
"6","2021-12-14 05:15:00",50.17,24.88,23.74,"Piez C",23.74
"7","2021-12-14 05:16:00",50.18,24.89,23.74,"Piez A",50.16
"8","2021-12-14 05:16:00",50.18,24.89,23.74,"Piez B",24.86
"9","2021-12-14 05:16:00",50.18,24.89,23.74,"Piez C",23.73
"10","2021-12-14 05:17:00",50.19,24.89,23.74,"Piez A",50.18
"11","2021-12-14 05:17:00",50.19,24.89,23.74,"Piez B",24.89
"12","2021-12-14 05:17:00",50.19,24.89,23.74,"Piez C",23.74
"13","2021-12-14 05:18:00",50.18,24.89,23.73,"Piez A",50.19
"14","2021-12-14 05:18:00",50.18,24.89,23.73,"Piez B",24.91
"15","2021-12-14 05:18:00",50.18,24.89,23.73,"Piez C",23.72
"16","2021-12-14 05:19:00",50.18,24.89,23.73,"Piez A",50.19
"17","2021-12-14 05:19:00",50.18,24.89,23.73,"Piez B",24.89
"18","2021-12-14 05:19:00",50.18,24.89,23.73,"Piez C",23.78
"19","2021-12-14 05:20:00",50.19,24.89,23.73,"Piez A",50.14
"20","2021-12-14 05:20:00",50.19,24.89,23.73,"Piez B",24.86
"21","2021-12-14 05:20:00",50.19,24.89,23.73,"Piez C",23.68
"22","2021-12-14 05:21:00",50.19,24.89,23.75,"Piez A",50.14
"23","2021-12-14 05:21:00",50.19,24.89,23.75,"Piez B",24.86
"24","2021-12-14 05:21:00",50.19,24.89,23.75,"Piez C",23.73
"25","2021-12-14 05:22:00",50.16,24.87,23.73,"Piez A",50.22
"26","2021-12-14 05:22:00",50.16,24.87,23.73,"Piez B",24.93
"27","2021-12-14 05:22:00",50.16,24.87,23.73,"Piez C",23.77
"28","2021-12-14 05:23:00",50.2,24.91,23.73,"Piez A",50.21
"29","2021-12-14 05:23:00",50.2,24.91,23.73,"Piez B",24.91
"30","2021-12-14 05:23:00",50.2,24.91,23.73,"Piez C",23.75
"31","2021-12-14 05:24:00",50.2,24.91,23.75,"Piez A",50.16
"32","2021-12-14 05:24:00",50.2,24.91,23.75,"Piez B",24.87
"33","2021-12-14 05:24:00",50.2,24.91,23.75,"Piez C",23.72
"34","2021-12-14 05:25:00",50.2,24.91,23.74,"Piez A",50.2
"35","2021-12-14 05:25:00",50.2,24.91,23.74,"Piez B",24.91
"36","2021-12-14 05:25:00",50.2,24.91,23.74,"Piez C",23.73
"37","2021-12-14 05:26:00",50.19,24.9,23.74,"Piez A",50.2
"38","2021-12-14 05:26:00",50.19,24.9,23.74,"Piez B",24.95
"39","2021-12-14 05:26:00",50.19,24.9,23.74,"Piez C",23.77
"40","2021-12-14 05:27:00",50.19,24.9,23.75,"Piez A",50.17
"41","2021-12-14 05:27:00",50.19,24.9,23.75,"Piez B",24.9
"42","2021-12-14 05:27:00",50.19,24.9,23.75,"Piez C",23.74
"43","2021-12-14 05:28:00",50.19,24.9,23.75,"Piez A",50.19
"44","2021-12-14 05:28:00",50.19,24.9,23.75,"Piez B",24.9
"45","2021-12-14 05:28:00",50.19,24.9,23.75,"Piez C",23.75
"46","2021-12-14 05:29:00",50.19,24.9,23.75,"Piez A",50.17
"47","2021-12-14 05:29:00",50.19,24.9,23.75,"Piez B",24.89
